epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0395,1.79251,1.89196,1.27975,0.74385,0.59146,0.64063,0.37406,1.73016,1.58704,1.25719,0.000466612,0.000466612,0.000466612
2,56.7194,1.47665,1.07686,1.13759,0.71532,0.72273,0.71789,0.39783,1.73951,0.96186,1.27495,0.000924275,0.000924275,0.000924275
3,84.0417,1.42585,0.96016,1.12188,0.79469,0.6404,0.69027,0.41567,1.72338,1.18715,1.305,0.00136308,0.00136308,0.00136308
4,110.771,1.47432,0.92792,1.14305,0.68073,0.56877,0.62461,0.32359,1.64983,0.95999,1.24125,0.00134412,0.00134412,0.00134412
5,137.26,1.35695,0.8444,1.10181,0.56703,0.62797,0.66814,0.394,1.52069,0.87984,1.17715,0.00131582,0.00131582,0.00131582
6,163.758,1.35356,0.81097,1.09493,0.87645,0.72108,0.79588,0.49294,1.49694,0.8542,1.1584,0.00128753,0.00128753,0.00128753
7,190.428,1.28688,0.74831,1.06502,0.82085,0.77234,0.81878,0.52896,1.45843,0.74731,1.13591,0.00125923,0.00125923,0.00125923
8,217.35,1.26085,0.72367,1.05667,0.69916,0.85529,0.80452,0.51503,1.44475,0.76012,1.14885,0.00123094,0.00123094,0.00123094
9,244.042,1.22647,0.68541,1.04042,0.90645,0.80156,0.81459,0.51304,1.47558,0.77364,1.16243,0.00120265,0.00120265,0.00120265
10,270.543,1.1932,0.64343,1.02749,0.9051,0.85675,0.90191,0.58477,1.42444,0.68547,1.12854,0.00117435,0.00117435,0.00117435
11,297.199,1.22151,0.6453,1.03374,0.8628,0.80965,0.85355,0.55729,1.45347,0.70798,1.15285,0.00114606,0.00114606,0.00114606
12,323.854,1.19745,0.62277,1.04064,0.84901,0.87727,0.89656,0.5514,1.43363,0.69035,1.14022,0.00111776,0.00111776,0.00111776
13,350.421,1.1714,0.60066,1.01967,0.85819,0.79732,0.8622,0.57543,1.44105,0.65719,1.14929,0.00108947,0.00108947,0.00108947
14,377.136,1.11543,0.57833,0.99888,0.80949,0.90201,0.90315,0.59005,1.40505,0.68601,1.11203,0.00106118,0.00106118,0.00106118
15,403.697,1.13033,0.58852,1.00317,0.90827,0.88061,0.90011,0.58879,1.40885,0.66563,1.11671,0.00103288,0.00103288,0.00103288
16,430.07,1.09536,0.56711,0.99508,0.9178,0.88502,0.90033,0.55987,1.44265,0.67697,1.13564,0.00100459,0.00100459,0.00100459
17,456.584,1.11883,0.57587,0.98778,0.89835,0.89112,0.90051,0.58995,1.40749,0.69913,1.10774,0.000976293,0.000976293,0.000976293
18,482.943,1.0865,0.57329,0.99174,0.90898,0.89305,0.90733,0.57151,1.43785,0.67227,1.12475,0.000947999,0.000947999,0.000947999
19,509.403,1.06558,0.5501,0.97667,0.93059,0.85319,0.88911,0.57377,1.4276,0.64783,1.12022,0.000919704,0.000919704,0.000919704
20,535.83,1.05026,0.54092,0.96845,0.92252,0.89275,0.91152,0.57956,1.41887,0.65773,1.12501,0.00089141,0.00089141,0.00089141
